flex1,flex2,flex3,flex4,flex5,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temperature,label
621.62,684.82,594.11,704.19,629.72,0.63,0.79,0.36,15.72,22.08,0.23,31.35,C
616.37,360.56,710.66,359.14,545.7,0.74,0.79,0.12,24.16,-10.76,-21.26,31.38,E
383.66,523.68,355.28,410.76,663.21,-0.4,-0.94,0.37,22.65,-10.33,-28.71,31.33,D
578.85,674.72,610.68,703.53,583.17,0.69,0.72,0.57,17.64,31.48,-1.45,31.24,C
578.29,435.52,623.59,589.94,350.78,0.99,0.31,0.23,-22.04,-5.34,-5.46,31.21,A
615.99,654.91,631.63,701.6,606.76,0.72,0.36,0.45,14.77,20.15,5.68,31.15,C
373.47,429.47,389.02,429.65,540.01,0.88,0.85,-0.19,9.8,19.83,14.12,30.84,B
559.5,633.55,595.27,707.24,613.28,0.62,0.74,0.43,3.76,23.66,3.91,30.5,C
630.72,436.16,626.9,550.01,313.54,0.96,0.21,0.66,-18.54,-4.23,-20.16,30.7,A
619.91,347.15,716.24,350.3,510.13,0.83,0.88,0.32,20.41,-25.69,-24.18,30.8,E
396.03,542.13,358.16,390.51,622.1,-0.95,-0.66,-0.09,21.08,-12.43,-19.57,31.53,D
574.04,369.85,653.48,365.49,534.79,0.77,0.9,0.12,16.46,-11.01,-24.03,30.99,E
381.65,378.1,372.83,430.82,484.94,1.16,0.97,-0.13,5.43,16.51,30.31,31.22,B
411.87,586.62,317.0,340.11,633.3,-0.72,-0.9,0.05,27.35,-4.7,-26.67,31.07,D
608.9,642.34,597.47,697.16,621.63,0.95,0.75,0.58,17.11,22.54,1.78,31.05,C
440.18,409.55,381.24,306.58,634.63,-0.73,-0.57,-0.56,25.35,12.22,30.33,31.28,DELETE
598.19,383.46,693.2,390.84,519.77,0.88,0.73,0.24,17.13,-21.2,-25.48,31.06,E
384.29,557.92,362.18,389.63,687.67,-0.59,-0.82,0.22,24.61,-10.62,-17.26,31.32,D
656.74,599.83,328.27,613.72,692.69,0.23,0.15,-0.61,21.39,-23.62,-13.89,31.21,SPACE
580.94,379.0,697.4,358.76,565.44,0.69,0.51,0.14,11.13,-28.09,-29.66,30.95,E
360.34,433.63,392.81,342.25,479.77,0.83,1.06,0.07,9.26,31.35,19.63,30.99,B
697.56,650.98,346.09,628.06,675.28,0.12,0.23,-0.73,24.01,-23.47,-13.5,30.94,SPACE
435.88,445.71,411.46,349.01,610.97,-0.36,-0.48,-0.6,26.94,19.17,23.91,31.49,DELETE
626.17,641.86,346.48,604.38,705.29,0.01,-0.05,-0.79,25.69,-28.18,-9.19,31.22,SPACE
393.23,568.97,359.32,351.88,650.79,-0.55,-1.12,-0.05,14.86,-5.73,-22.77,30.74,D
584.03,473.15,671.64,521.93,300.25,0.81,0.74,0.61,-18.48,-8.68,-13.35,31.13,A
405.47,384.99,404.21,446.35,528.45,1.05,1.06,-0.1,10.9,14.63,22.85,31.32,B
597.34,498.27,644.22,585.91,338.02,1.0,0.59,0.28,-18.98,-7.89,-14.96,30.98,A
560.48,660.37,569.71,691.26,609.35,0.53,0.51,0.45,20.63,31.39,1.55,31.02,C
401.71,387.82,368.0,444.72,509.89,0.83,0.97,0.04,3.83,20.07,32.12,30.76,B
551.45,481.47,691.01,567.61,344.17,1.1,0.5,0.48,-33.69,0.23,-8.32,30.7,A
571.61,632.45,644.26,718.61,592.79,0.75,0.69,0.05,13.58,25.83,-3.27,31.07,C
370.81,584.01,368.6,392.92,605.7,-0.93,-0.86,-0.41,27.89,-19.56,-18.09,30.73,D
662.46,623.01,293.74,633.31,644.37,0.24,0.34,-0.77,25.34,-25.7,-7.57,31.41,SPACE
629.15,453.03,656.54,597.17,323.25,1.04,0.61,0.49,-27.93,-8.9,-7.32,31.1,A
586.69,377.13,692.4,385.96,625.65,0.92,0.55,0.1,11.3,-26.65,-27.08,31.14,E
388.77,559.52,389.26,332.38,700.87,-0.34,-1.37,-0.01,18.17,-11.76,-24.4,31.24,D
587.87,642.57,618.27,693.35,594.79,0.77,0.76,0.44,18.51,22.17,-5.79,31.23,C
419.68,401.91,387.31,282.19,607.33,-0.48,-0.42,-0.7,28.07,12.94,25.85,31.02,DELETE
595.08,622.51,593.01,690.35,583.6,0.52,0.45,0.11,12.83,29.22,-9.48,30.59,C
719.28,590.63,314.15,623.95,660.18,0.43,0.2,-0.89,19.99,-29.83,-13.92,31.08,SPACE
588.27,372.48,665.73,360.3,502.53,0.97,0.73,0.25,12.43,-18.14,-35.1,31.06,E
645.41,380.5,656.72,375.06,553.39,0.84,0.48,0.56,7.58,-18.64,-28.42,31.18,E
587.51,365.02,682.13,405.87,521.36,0.66,0.78,0.26,23.12,-24.58,-25.19,31.32,E
595.3,471.4,690.49,574.7,348.02,0.92,0.53,0.57,-20.07,2.85,0.48,31.09,A
334.09,451.51,404.41,430.14,510.43,0.75,1.02,0.05,5.88,22.02,39.81,31.25,B
612.13,456.49,621.96,565.51,351.24,0.81,0.59,0.39,-23.33,-2.43,4.47,30.59,A
402.16,574.18,377.52,347.54,650.07,-0.45,-0.71,0.15,23.45,-15.47,-18.72,30.95,D
440.57,456.02,383.39,350.79,591.52,-0.66,-0.47,-0.41,29.31,15.49,33.51,30.91,DELETE
386.74,428.23,394.9,339.45,644.97,-0.24,-0.21,-0.5,27.75,13.75,25.88,31.18,DELETE
414.0,448.81,369.83,291.03,607.41,-0.41,-0.39,-0.58,29.57,18.88,28.44,30.92,DELETE
574.74,604.33,619.14,766.89,592.58,0.45,0.8,0.35,24.6,24.67,-4.65,30.95,C
566.23,372.93,667.85,336.66,580.89,0.87,0.7,-0.01,9.94,-19.64,-28.45,30.35,E
660.21,661.89,320.38,577.74,694.37,0.35,0.05,-1.1,16.6,-24.49,-9.81,31.24,SPACE
592.03,648.72,593.68,696.46,600.75,0.73,0.31,0.74,17.37,28.98,-8.38,30.86,C
630.69,403.03,697.25,306.19,512.11,0.97,0.43,0.25,14.62,-14.6,-32.3,30.81,E
565.21,488.44,629.0,610.81,321.98,0.86,0.6,0.69,-20.07,-11.4,-5.06,30.69,A
367.05,454.15,357.6,369.11,560.73,1.19,0.87,-0.04,11.42,9.96,16.67,30.92,B
415.12,563.27,376.89,373.07,632.02,-0.69,-1.15,0.08,17.08,-5.85,-24.0,31.32,D
386.61,420.95,372.57,347.98,606.84,-0.53,-0.65,-0.29,28.85,19.36,23.09,30.8,DELETE
604.96,669.78,316.39,596.21,689.38,0.45,0.28,-0.62,23.88,-25.7,-9.99,30.61,SPACE
649.47,665.2,601.05,686.1,577.83,1.01,0.64,0.78,25.08,17.38,-4.82,30.8,C
394.14,575.18,321.45,395.26,670.78,-0.7,-1.09,-0.14,26.89,-18.0,-16.99,30.95,D
578.23,369.86,706.78,343.18,546.51,0.82,0.63,0.3,13.29,-21.13,-32.41,30.83,E
575.17,491.43,637.88,542.18,312.28,1.0,0.65,0.87,-7.74,-0.9,-12.7,30.36,A
673.38,624.86,305.47,591.86,673.35,0.22,0.03,-1.08,10.87,-42.81,-11.85,31.7,SPACE
583.56,369.35,683.7,364.21,584.2,1.04,0.64,0.11,19.62,-22.19,-38.05,31.21,E
394.99,447.14,433.37,338.92,633.57,-0.57,-0.51,-0.62,25.2,20.48,17.76,31.27,DELETE
418.55,415.57,350.79,377.76,660.24,-0.66,-0.54,-0.69,34.61,10.43,15.96,31.65,DELETE
444.63,521.73,385.42,375.13,643.42,-0.91,-0.87,0.1,30.69,-5.4,-25.28,30.7,D
612.08,381.1,677.38,370.78,528.0,0.69,0.78,0.42,17.67,-24.99,-23.52,30.85,E
607.71,659.49,303.31,619.97,649.71,0.09,0.22,-0.56,25.11,-26.53,-9.4,30.47,SPACE
577.65,689.38,577.09,707.59,593.74,0.97,0.53,0.35,13.26,27.7,-8.35,30.86,C
634.92,586.22,369.0,640.93,678.43,0.26,-0.03,-0.94,30.32,-26.56,-14.01,30.47,SPACE
392.29,577.57,357.95,419.65,653.66,-0.76,-1.03,-0.18,24.55,-14.54,-16.82,30.61,D
598.59,616.43,591.81,711.58,616.62,0.6,0.69,0.79,18.02,22.62,-2.36,31.03,C
405.15,444.72,428.6,347.71,594.87,-0.29,-0.64,-0.6,30.93,12.46,29.28,30.85,DELETE
381.56,434.44,399.03,392.97,525.18,1.29,0.72,0.13,-0.05,21.06,23.81,30.37,B
468.44,411.09,393.75,324.03,619.51,-0.34,-0.38,-0.45,25.14,12.75,25.87,30.99,DELETE
393.16,563.97,344.49,392.89,650.61,-0.68,-0.91,-0.17,17.29,-21.49,-19.49,30.64,D
620.96,511.68,641.51,574.03,309.81,0.92,0.28,0.44,-21.18,3.62,6.29,30.82,A
675.63,665.97,294.62,579.66,707.29,0.29,0.11,-0.93,26.79,-22.54,-18.52,31.49,SPACE
628.87,677.77,618.34,702.01,607.4,0.69,0.76,0.47,13.87,20.84,-5.25,31.07,C
406.19,400.13,414.89,402.95,508.74,0.84,1.2,0.03,16.54,19.03,27.43,31.72,B
614.36,608.03,601.7,682.8,584.81,0.77,0.83,0.41,22.01,26.33,-5.95,30.92,C
395.99,419.2,413.66,382.22,534.6,1.05,1.1,-0.07,6.62,8.08,22.87,30.84,B
442.06,398.3,369.32,368.6,719.8,-0.34,-0.28,-0.56,24.26,21.84,20.29,30.64,DELETE
441.84,477.25,383.74,325.96,594.2,-0.47,-0.48,-0.68,28.02,19.62,22.98,30.77,DELETE
421.24,449.07,375.4,429.35,530.8,1.04,1.05,0.2,8.76,28.65,27.52,31.19,B
571.9,450.92,621.92,640.38,382.71,0.89,0.47,0.4,-31.85,-3.56,-12.74,30.97,A
536.32,485.12,552.23,535.86,348.97,1.02,0.35,0.47,-15.46,-5.4,3.46,31.0,A
650.85,386.15,714.23,354.28,533.64,1.01,0.97,0.52,16.96,-21.77,-28.37,30.77,E
625.79,438.25,644.78,575.97,366.91,0.92,0.42,0.5,-15.95,-0.3,-9.68,30.93,A
403.46,371.97,394.79,449.71,527.63,0.72,1.26,0.16,7.99,19.74,31.39,30.84,B
430.47,528.73,376.63,408.18,653.65,-0.62,-0.7,0.29,21.45,-13.1,-26.91,31.29,D
720.58,622.04,322.0,584.65,646.86,0.14,0.33,-0.98,32.61,-25.14,-16.24,30.89,SPACE
612.65,324.9,671.15,350.23,559.81,1.05,0.83,0.27,0.79,-19.99,-22.07,31.37,E
398.58,532.53,401.13,379.55,644.47,-0.63,-1.05,0.02,14.55,-5.01,-22.83,31.35,D
383.89,421.14,390.23,414.46,553.87,0.97,1.25,0.09,9.69,17.05,28.07,30.96,B
359.02,566.01,372.3,341.88,671.12,-0.61,-1.04,-0.02,12.01,-12.1,-22.27,31.05,D
674.52,481.13,679.27,581.24,352.19,0.94,0.5,0.46,-20.16,-7.23,-4.42,31.33,A
642.81,496.97,664.48,592.8,395.86,0.92,0.22,0.81,-24.6,-2.44,-1.2,30.52,A
610.08,381.89,687.71,370.42,569.57,0.85,0.74,0.3,13.55,-13.33,-23.41,31.02,E
352.45,596.77,378.07,400.12,665.65,-0.73,-1.12,-0.02,16.89,-8.01,-18.28,31.44,D
601.49,433.25,643.0,556.39,329.11,0.94,0.27,0.33,-19.9,-5.59,-20.58,31.24,A
